episode,env_steps,ep_reward,win,safe_revealed,total_safe,ep_actions,mine_hit
1,13,2.67,0,8,11,13,1
2,14,-1.01,0,0,3,1,1
3,34,6.1,0,15,18,20,1
4,42,1.87,0,6,9,8,1
5,50,1.87,0,6,9,8,1
6,53,-0.03,0,2,5,3,1
7,54,-1.01,0,0,3,1,1
8,59,0.4,0,3,6,5,1
9,65,0.89,0,4,7,6,1
10,71,1.44,0,5,8,6,1
11,86,3.65,0,10,13,15,1
12,89,-0.03,0,2,5,3,1
13,96,1.38,0,5,8,7,1
14,107,2.79,0,8,11,11,1
15,112,-0.15,0,2,5,5,1
16,119,0.83,0,4,7,7,1
17,127,1.87,0,6,9,8,1
18,143,4.14,0,11,14,16,1
19,149,0.89,0,4,7,6,1
20,152,-0.03,0,2,5,3,1
21,161,2.36,0,7,10,9,1
22,169,2.42,0,7,10,8,1
23,170,-1.01,0,0,3,1,1
24,182,2.73,0,8,11,12,1
25,195,4.32,0,11,14,13,1
26,199,0.46,0,3,6,4,1
27,203,0.46,0,3,6,4,1
28,214,2.24,0,7,10,11,1
29,221,1.93,0,6,9,7,1
30,229,1.87,0,6,9,8,1
31,231,-0.52,0,1,4,2,1
32,234,-0.03,0,2,5,3,1
33,236,-0.52,0,1,4,2,1
34,240,0.46,0,3,6,4,1
35,242,-0.52,0,1,4,2,1
36,259,4.63,0,12,15,17,1
37,278,4.51,0,12,15,19,1
38,288,2.3,0,7,10,10,1
39,290,-0.52,0,1,4,2,1
40,295,0.4,0,3,6,5,1
41,307,4.38,0,11,14,12,1
42,315,2.42,0,7,10,8,1
43,321,1.44,0,5,8,6,1
44,348,5.68,0,15,18,27,1
45,351,-0.03,0,2,5,3,1
46,363,3.83,0,10,13,12,1
47,365,-0.52,0,1,4,2,1
48,368,-0.03,0,2,5,3,1
49,369,-1.01,0,0,3,1,1
50,381,3.28,0,9,12,12,1
51,387,1.44,0,5,8,6,1
52,390,-0.03,0,2,5,3,1
53,394,0.46,0,3,6,4,1
54,402,2.42,0,7,10,8,1
55,405,-0.03,0,2,5,3,1
56,410,0.95,0,4,7,5,1
57,416,0.89,0,4,7,6,1
58,420,0.46,0,3,6,4,1
59,440,3.9,0,11,14,20,1
60,442,-0.52,0,1,4,2,1
61,449,1.93,0,6,9,7,1
62,453,0.46,0,3,6,4,1
63,461,1.87,0,6,9,8,1
64,465,0.46,0,3,6,4,1
65,474,2.91,0,8,11,9,1
66,481,1.38,0,5,8,7,1
67,484,-0.03,0,2,5,3,1
68,486,-0.52,0,1,4,2,1
69,490,-0.09,0,2,5,4,1
70,507,4.63,0,12,15,17,1
71,510,-0.03,0,2,5,3,1
72,511,-1.01,0,0,3,1,1
73,513,-0.52,0,1,4,2,1
74,516,-0.03,0,2,5,3,1
75,525,2.91,0,8,11,9,1
76,527,-0.52,0,1,4,2,1
77,532,0.95,0,4,7,5,1
78,533,-1.01,0,0,3,1,1
79,535,-0.52,0,1,4,2,1
80,577,6.43,0,18,21,42,1
81,581,0.46,0,3,6,4,1
82,589,1.87,0,6,9,8,1
83,596,1.38,0,5,8,7,1
84,629,7.52,0,19,22,33,1
85,635,1.44,0,5,8,6,1
86,641,0.89,0,4,7,6,1
87,646,0.95,0,4,7,5,1
88,659,3.22,0,9,12,13,1
89,662,-0.03,0,2,5,3,1
90,666,0.46,0,3,6,4,1
91,667,-1.01,0,0,3,1,1
92,671,0.46,0,3,6,4,1
93,684,3.22,0,9,12,13,1
94,694,2.3,0,7,10,10,1
95,699,0.95,0,4,7,5,1
96,709,2.3,0,7,10,10,1
97,719,2.3,0,7,10,10,1
98,729,3.4,0,9,12,10,1
99,734,0.4,0,3,6,5,1
100,744,2.3,0,7,10,10,1
101,748,0.46,0,3,6,4,1
102,759,1.69,0,6,9,11,1
103,765,0.89,0,4,7,6,1
104,769,0.46,0,3,6,4,1
105,770,-1.01,0,0,3,1,1
106,783,3.77,0,10,13,13,1
107,801,4.02,0,11,14,18,1
108,804,-0.03,0,2,5,3,1
109,824,4.45,0,12,15,20,1
110,829,0.95,0,4,7,5,1
111,834,0.95,0,4,7,5,1
112,846,2.73,0,8,11,12,1
113,849,-0.03,0,2,5,3,1
114,853,0.46,0,3,6,4,1
115,857,0.46,0,3,6,4,1
116,858,-1.01,0,0,3,1,1
117,863,0.95,0,4,7,5,1
118,877,4.26,0,11,14,14,1
119,878,-1.01,0,0,3,1,1
120,884,0.89,0,4,7,6,1
121,889,-0.15,0,2,5,5,1
122,891,-0.52,0,1,4,2,1
123,897,0.89,0,4,7,6,1
124,898,-1.01,0,0,3,1,1
125,943,6.8,0,19,22,45,1
126,944,-1.01,0,0,3,1,1
127,945,-1.01,0,0,3,1,1
128,946,-1.01,0,0,3,1,1
129,953,1.93,0,6,9,7,1
130,955,-0.52,0,1,4,2,1
131,957,-0.52,0,1,4,2,1
132,966,2.36,0,7,10,9,1
133,978,2.73,0,8,11,12,1
134,988,2.3,0,7,10,10,1
